CMDLINE C:\Users\Adriaan\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe word_filter.py
MEM 279.578125 1688407717.2862
MEM 279.578125 1688407717.3868
MEM 279.578125 1688407717.4874
MEM 279.582031 1688407717.5879
MEM 279.582031 1688407717.6885
MEM 279.582031 1688407717.7891
MEM 279.582031 1688407717.8897
MEM 279.582031 1688407717.9903
MEM 279.585938 1688407718.0929
MEM 279.585938 1688407718.1934
MEM 279.753906 1688407718.2940
MEM 279.753906 1688407718.3948
MEM 279.753906 1688407718.4954
MEM 279.753906 1688407718.5960
MEM 279.757812 1688407718.6966
MEM 279.757812 1688407718.7971
MEM 279.757812 1688407718.8978
MEM 279.757812 1688407718.9984
MEM 279.757812 1688407719.0999
MEM 279.761719 1688407719.2009
MEM 279.445312 1688407719.3015
MEM 279.445312 1688407719.4020
MEM 279.445312 1688407719.5026
MEM 279.445312 1688407719.6035
MEM 279.453125 1688407719.7041
MEM 279.453125 1688407719.8049
MEM 279.453125 1688407719.9054
MEM 279.453125 1688407720.0062
MEM 279.457031 1688407720.1065
MEM 279.457031 1688407720.2067
MEM 279.457031 1688407720.3074
MEM 279.457031 1688407720.4077
MEM 279.457031 1688407720.5084
MEM 279.460938 1688407720.6088
MEM 279.460938 1688407720.7095
MEM 279.648438 1688407720.8103
MEM 279.648438 1688407720.9110
MEM 279.648438 1688407721.0115
MEM 279.652344 1688407721.1126
MEM 279.652344 1688407721.2132
MEM 279.652344 1688407721.3138
MEM 279.652344 1688407721.4142
MEM 279.652344 1688407721.5146
MEM 279.656250 1688407721.6154
MEM 279.656250 1688407721.7161
MEM 279.656250 1688407721.8164
MEM 279.656250 1688407721.9171
MEM 279.656250 1688407722.0177
MEM 279.660156 1688407722.1183
MEM 279.660156 1688407722.2189
MEM 279.660156 1688407722.3195
MEM 279.660156 1688407722.4202
MEM 279.660156 1688407722.5208
MEM 279.664062 1688407722.6210
MEM 279.664062 1688407722.7217
MEM 279.664062 1688407722.8222
MEM 279.664062 1688407722.9228
MEM 279.664062 1688407723.0233
MEM 279.664062 1688407723.1236
MEM 279.667969 1688407723.2242
MEM 279.667969 1688407723.3248
MEM 279.667969 1688407723.4255
MEM 279.667969 1688407723.5260
MEM 279.667969 1688407723.6263
MEM 279.667969 1688407723.7268
MEM 279.667969 1688407723.8272
MEM 279.671875 1688407723.9278
MEM 279.671875 1688407724.0285
MEM 279.671875 1688407724.1293
MEM 279.777344 1688407724.2299
MEM 279.777344 1688407724.3304
